year_label,ai_any_function_pct,genai_pct,orgs_2plus_pct,top_function_1,top_function_2,top_function_3,sample_size_raw
2017,0.20,N/A,N/A,Service Ops,Product Dev,Marketing & Sales,~3000
2018,0.47,N/A,N/A,Service Ops,Product Dev,Marketing & Sales,~3000
2019,0.58,N/A,N/A,Service Ops,Product Dev,Marketing & Sales,~3000
2020,0.50,N/A,N/A,Service Ops,Product Dev,Marketing & Sales,~3000
2021,0.56,N/A,N/A,Service Ops,Product Dev,Marketing & Sales,~3000
2022,0.50,N/A,N/A,Service Ops,Product Dev,Marketing & Sales,~3000
2023,0.55,0.33,<33%,Marketing & Sales,Product Dev,Service Ops,1684
Early 2024,0.72,0.65,50%,Marketing & Sales,Product Dev,IT,1363
Late 2024,0.78,0.71,>50%,IT,Marketing & Sales,Service Ops,~1500
2025,0.88,0.79,Majority,IT,Knowledge Mgmt,Marketing & Sales,~1500
