business_function,y2021,y2022,y2023,early_2024,late_2024,y2025
Marketing & Sales,0.23,0.21,0.28,0.30,0.29,0.36
Product & Service Dev,0.24,0.22,0.27,0.28,0.27,0.34
IT & Software Engineering,0.17,0.15,0.24,0.27,0.36,0.43
Service Operations,0.22,0.21,0.24,0.26,0.28,0.33
Risk & Finance,0.12,0.11,0.14,0.18,0.19,0.24
Human Resources,0.09,0.08,0.11,0.14,0.16,0.21
Supply Chain & Inventory,0.12,0.10,0.14,0.17,0.18,0.23
Knowledge Management,0.07,0.06,0.10,0.14,0.17,0.28
Manufacturing/Ops,0.15,0.13,0.17,0.20,0.22,0.27
R&D / Science,0.10,0.09,0.13,0.16,0.17,0.22
Strategy & Corp Finance,0.08,0.07,0.10,0.13,0.14,0.18
