industry_sector,y2022,y2023,early_2024,late_2024,y2025
Technology / Software,0.70,0.76,0.84,0.88,0.92
Financial Services / BFSI,0.55,0.61,0.70,0.74,0.80
Professional Services,0.50,0.57,0.72,0.76,0.82
Healthcare & Pharma,0.35,0.42,0.52,0.58,0.65
Media & Telecom,0.48,0.55,0.65,0.68,0.74
Retail & Consumer Goods,0.38,0.45,0.56,0.60,0.68
Energy & Materials,0.32,0.40,0.55,0.59,0.66
Manufacturing,0.40,0.46,0.55,0.59,0.65
Education,0.22,0.30,0.42,0.48,0.58
Government & Public,0.20,0.28,0.36,0.42,0.50
Agriculture,0.15,0.20,0.29,0.34,0.42
Logistics & Supply Chain,0.30,0.38,0.50,0.55,0.63
Environment / Climate,0.12,0.18,0.28,0.34,0.44
Legal Services,0.15,0.22,0.35,0.42,0.52
Real Estate & Const.,0.18,0.24,0.32,0.38,0.46
